"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
children,Eczema (using treatment),2024,Pacific vs non-Pacific,1.37,1.02,1.83,"Age, gender"
children,Eczema (using treatment),2024,Pacific boys vs non-Pacific boys,1.37,0.9,2.1,Age
children,Eczema (using treatment),2024,Pacific girls vs non-Pacific girls,1.36,0.91,2.04,Age
children,Eczema (using treatment),2024,Asian vs non-Asian,1.17,0.94,1.46,"Age, gender"
children,Eczema (using treatment),2024,Asian boys vs non-Asian boys,1.11,0.78,1.57,Age
children,Eczema (using treatment),2024,Asian girls vs non-Asian girls,1.24,0.89,1.73,Age
children,Eczema (using treatment),2024,Most deprived vs least deprived,1.01,0.64,1.6,"Age, gender, ethnic group"
children,Eczema (using treatment),2024,Most deprived vs least deprived - boys,0.89,0.46,1.71,"Age, ethnic group"
children,Eczema (using treatment),2024,Most deprived vs least deprived - girls,1.16,0.64,2.09,"Age, ethnic group"
children,Eczema (using treatment),2024,Disabled children vs non-disabled children (5-14),0.83,0.52,1.35,"Age, gender"
children,Emotional support for parenting,2024,Boys vs girls,1.02,0.99,1.05,Age
children,Emotional support for parenting,2024,Māori vs non-Māori,1.01,0.98,1.05,"Age, gender"
children,Emotional support for parenting,2024,Māori boys vs non-Māori boys,1.02,0.97,1.06,Age
children,Emotional support for parenting,2024,Māori girls vs non-Māori girls,1.01,0.95,1.07,Age
children,Emotional support for parenting,2024,Pacific vs non-Pacific,0.98,0.94,1.03,"Age, gender"
children,Emotional support for parenting,2024,Pacific boys vs non-Pacific boys,0.95,0.89,1.01,Age
children,Emotional support for parenting,2024,Pacific girls vs non-Pacific girls,1.01,0.95,1.07,Age
children,Emotional support for parenting,2024,Asian vs non-Asian,0.95,0.91,0.99,"Age, gender"
children,Emotional support for parenting,2024,Asian boys vs non-Asian boys,0.97,0.93,1.03,Age
children,Emotional support for parenting,2024,Asian girls vs non-Asian girls,0.92,0.86,0.99,Age
children,Emotional support for parenting,2024,Most deprived vs least deprived,0.98,0.92,1.03,"Age, gender, ethnic group"
children,Emotional support for parenting,2024,Most deprived vs least deprived - boys,0.96,0.89,1.03,"Age, ethnic group"
children,Emotional support for parenting,2024,Most deprived vs least deprived - girls,1.0,0.9,1.11,"Age, ethnic group"
children,Emotional support for parenting,2024,Disabled children vs non-disabled children (5-14),0.94,0.87,1.01,"Age, gender"
children,Coping with parenting - well or very well,2024,Boys vs girls,1.02,0.96,1.08,Age
children,Coping with parenting - well or very well,2024,Māori vs non-Māori,0.97,0.91,1.03,"Age, gender"
children,Coping with parenting - well or very well,2024,Māori boys vs non-Māori boys,1.01,0.92,1.1,Age
children,Coping with parenting - well or very well,2024,Māori girls vs non-Māori girls,0.93,0.86,1.01,Age
children,Coping with parenting - well or very well,2024,Pacific vs non-Pacific,1.09,1.03,1.16,"Age, gender"
children,Coping with parenting - well or very well,2024,Pacific boys vs non-Pacific boys,1.07,0.97,1.18,Age
children,Coping with parenting - well or very well,2024,Pacific girls vs non-Pacific girls,1.12,1.03,1.21,Age
children,Coping with parenting - well or very well,2024,Asian vs non-Asian,1.02,0.96,1.08,"Age, gender"
children,Coping with parenting - well or very well,2024,Asian boys vs non-Asian boys,1.01,0.92,1.1,Age
children,Coping with parenting - well or very well,2024,Asian girls vs non-Asian girls,1.03,0.93,1.13,Age
children,Coping with parenting - well or very well,2024,Most deprived vs least deprived,0.97,0.87,1.07,"Age, gender, ethnic group"
children,Coping with parenting - well or very well,2024,Most deprived vs least deprived - boys,0.92,0.79,1.07,"Age, ethnic group"
children,Coping with parenting - well or very well,2024,Most deprived vs least deprived - girls,1.02,0.88,1.18,"Age, ethnic group"
children,Coping with parenting - well or very well,2024,Disabled children vs non-disabled children (5-14),0.71,0.62,0.82,"Age, gender"
children,Coping with parenting - somewhat well,2024,Boys vs girls,0.9,0.74,1.1,Age
children,Coping with parenting - somewhat well,2024,Māori vs non-Māori,1.1,0.9,1.34,"Age, gender"
children,Coping with parenting - somewhat well,2024,Māori boys vs non-Māori boys,1.02,0.74,1.41,Age
children,Coping with parenting - somewhat well,2024,Māori girls vs non-Māori girls,1.18,0.92,1.51,Age
children,Coping with parenting - somewhat well,2024,Pacific vs non-Pacific,0.75,0.56,1.01,"Age, gender"
children,Coping with parenting - somewhat well,2024,Pacific boys vs non-Pacific boys,0.88,0.57,1.38,Age
children,Coping with parenting - somewhat well,2024,Pacific girls vs non-Pacific girls,0.66,0.44,1.0,Age
children,Coping with parenting - somewhat well,2024,Asian vs non-Asian,0.95,0.75,1.2,"Age, gender"
children,Coping with parenting - somewhat well,2024,Asian boys vs non-Asian boys,0.97,0.69,1.36,Age
children,Coping with parenting - somewhat well,2024,Asian girls vs non-Asian girls,0.94,0.67,1.31,Age
children,Coping with parenting - somewhat well,2024,Most deprived vs least deprived,1.11,0.77,1.61,"Age, gender, ethnic group"
children,Coping with parenting - somewhat well,2024,Most deprived vs least deprived - boys,1.28,0.71,2.29,"Age, ethnic group"
children,Coping with parenting - somewhat well,2024,Most deprived vs least deprived - girls,0.97,0.61,1.54,"Age, ethnic group"
children,Coping with parenting - somewhat well,2024,Disabled children vs non-disabled children (5-14),2.02,1.53,2.65,"Age, gender"
children,Coping with parenting - not very well or not very well at all,2024,Boys vs girls,1.38,0.73,2.61,Age
children,Coping with parenting - not very well or not very well at all,2024,Māori vs non-Māori,1.09,0.55,2.14,"Age, gender"
children,Coping with parenting - not very well or not very well at all,2024,Māori boys vs non-Māori boys,0.69,0.17,2.77,Age
children,Coping with parenting - not very well or not very well at all,2024,Māori girls vs non-Māori girls,1.88,0.74,4.78,Age
children,Coping with parenting - not very well or not very well at all,2024,Pacific vs non-Pacific,0.29,0.08,1.02,"Age, gender"
children,Coping with parenting - not very well or not very well at all,2024,Pacific girls vs non-Pacific girls,0.52,0.11,2.47,Age
children,Coping with parenting - not very well or not very well at all,2024,Asian vs non-Asian,0.89,0.28,2.83,"Age, gender"
children,Coping with parenting - not very well or not very well at all,2024,Asian girls vs non-Asian girls,0.69,0.23,2.06,Age
children,Coping with parenting - not very well or not very well at all,2024,Most deprived vs least deprived,1.15,0.41,3.19,"Age, gender, ethnic group"
children,Coping with parenting - not very well or not very well at all,2024,Most deprived vs least deprived - girls,0.64,0.11,3.68,"Age, ethnic group"
children,Coping with parenting - not very well or not very well at all,2024,Disabled children vs non-disabled children (5-14),4.8,1.96,11.76,"Age, gender"
children,Child bothers them - never,2024,Boys vs girls,0.95,0.82,1.1,Age
children,Child bothers them - never,2024,Māori vs non-Māori,0.8,0.69,0.94,"Age, gender"
children,Child bothers them - never,2024,Māori boys vs non-Māori boys,0.78,0.62,0.98,Age
children,Child bothers them - never,2024,Māori girls vs non-Māori girls,0.83,0.68,1.01,Age
children,Child bothers them - never,2024,Pacific vs non-Pacific,1.09,0.89,1.34,"Age, gender"
children,Child bothers them - never,2024,Pacific boys vs non-Pacific boys,1.17,0.87,1.58,Age
children,Child bothers them - never,2024,Pacific girls vs non-Pacific girls,1.02,0.8,1.3,Age
children,Child bothers them - never,2024,Asian vs non-Asian,1.45,1.26,1.66,"Age, gender"
children,Child bothers them - never,2024,Asian boys vs non-Asian boys,1.45,1.23,1.7,Age
children,Child bothers them - never,2024,Asian girls vs non-Asian girls,1.42,1.15,1.76,Age
children,Child bothers them - never,2024,Most deprived vs least deprived,0.95,0.72,1.24,"Age, gender, ethnic group"
children,Child bothers them - never,2024,Most deprived vs least deprived - boys,0.97,0.65,1.46,"Age, ethnic group"
children,Child bothers them - never,2024,Most deprived vs least deprived - girls,0.93,0.65,1.32,"Age, ethnic group"
children,Child bothers them - never,2024,Disabled children vs non-disabled children (5-14),0.37,0.25,0.54,"Age, gender"
children,Child bothers them - sometimes or rarely,2024,Boys vs girls,1.03,0.94,1.13,Age
children,Child bothers them - sometimes or rarely,2024,Māori vs non-Māori,1.09,0.99,1.19,"Age, gender"
children,Child bothers them - sometimes or rarely,2024,Māori boys vs non-Māori boys,1.11,0.98,1.26,Age
children,Child bothers them - sometimes or rarely,2024,Māori girls vs non-Māori girls,1.06,0.93,1.21,Age
children,Child bothers them - sometimes or rarely,2024,Pacific vs non-Pacific,0.93,0.8,1.07,"Age, gender"
children,Child bothers them - sometimes or rarely,2024,Pacific boys vs non-Pacific boys,0.89,0.72,1.1,Age
children,Child bothers them - sometimes or rarely,2024,Pacific girls vs non-Pacific girls,0.96,0.81,1.15,Age
children,Child bothers them - sometimes or rarely,2024,Asian vs non-Asian,0.8,0.71,0.91,"Age, gender"
children,Child bothers them - sometimes or rarely,2024,Asian boys vs non-Asian boys,0.81,0.7,0.93,Age
children,Child bothers them - sometimes or rarely,2024,Asian girls vs non-Asian girls,0.81,0.67,0.98,Age
children,Child bothers them - sometimes or rarely,2024,Most deprived vs least deprived,0.94,0.78,1.12,"Age, gender, ethnic group"
children,Child bothers them - sometimes or rarely,2024,Most deprived vs least deprived - boys,0.93,0.72,1.2,"Age, ethnic group"
children,Child bothers them - sometimes or rarely,2024,Most deprived vs least deprived - girls,0.94,0.73,1.2,"Age, ethnic group"
children,Child bothers them - sometimes or rarely,2024,Disabled children vs non-disabled children (5-14),1.06,0.91,1.22,"Age, gender"
children,Child bothers them - usually or always,2024,Boys vs girls,1.06,0.71,1.58,Age
children,Child bothers them - usually or always,2024,Māori vs non-Māori,1.67,1.12,2.5,"Age, gender"
children,Child bothers them - usually or always,2024,Māori boys vs non-Māori boys,1.49,0.9,2.49,Age
